RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
83.722359,21.628363,05345336+2137421,15.583,0.056,14.97,0.075,14.96,0.131,AAB,222,111,s0s,0,0
83.732244,21.637165,05345573+2138137,16.324,0.099,15.602,0.114,15.556,,ABU,220,110,000,0,0
83.740055,21.631826,05345761+2137545,14.291,0.031,14.023,0.042,13.96,0.053,AAA,222,111,000,0,0
83.737742,21.636496,05345705+2138113,17.221,0.213,16.037,0.161,15.36,0.176,DCC,222,111,000,0,0
83.74399,21.628551,05345855+2137427,14.974,0.051,14.236,0.049,14.025,,AAU,226,120,sc0,0,0
83.738017,21.639307,05345712+2138215,15.387,0.052,14.981,0.067,14.729,0.101,AAA,222,111,c00,0,0
83.743345,21.63735,05345840+2138144,16.661,0.133,16.247,0.193,16.912,,BCU,220,110,000,0,0
83.742203,21.63126,05345812+2137525,16.357,0.097,15.828,0.139,15.649,0.234,ABD,222,111,c00,0,0
83.680462,21.620485,05344331+2137137,10.25,0.023,10.008,0.022,9.927,0.02,AAA,222,111,000,0,0
83.680129,21.618406,05344323+2137062,16.329,0.146,14.97,,14.974,,BUU,200,100,c00,0,0
83.692046,21.62488,05344609+2137295,16.762,0.142,16.491,0.248,15.476,,BDU,220,110,000,0,0
83.692917,21.622622,05344630+2137214,15.208,0.044,15.057,0.071,14.805,0.11,AAB,222,111,000,0,0
83.683623,21.629601,05344406+2137465,15.964,0.088,15.598,0.103,15.581,0.213,ABD,222,111,000,0,0
83.684231,21.62723,05344421+2137380,15.314,0.048,14.622,0.059,14.551,0.083,AAA,222,111,000,0,0
83.67992,21.629345,05344318+2137456,16.735,0.136,16.241,0.193,16.966,,BCU,220,110,000,0,0
83.708635,21.628033,05345007+2137409,16.102,0.093,15.571,0.106,15.173,0.158,ABC,222,111,s0s,0,0
83.698537,21.631355,05344764+2137528,15.161,0.042,14.422,0.042,14.316,0.072,AAA,222,111,000,0,0
83.701534,21.632265,05344836+2137561,15.776,0.064,15.517,0.099,15.175,0.162,AAC,222,111,000,0,0
83.69806,21.62734,05344753+2137384,16.703,0.138,15.378,,15.635,,BUU,200,100,s00,0,0
83.705958,21.627754,05344942+2137399,16.689,0.142,16.046,0.17,15.744,0.256,BCD,222,111,s0s,0,0
83.688139,21.626991,05344515+2137371,16.166,0.136,15.691,0.147,14.905,,BBU,220,110,000,0,0
83.688527,21.62517,05344524+2137306,15.309,0.052,15.032,0.076,14.817,0.105,AAB,222,111,000,0,0
83.703214,21.64786,05344877+2138522,12.55,0.023,11.86,0.022,11.702,0.018,AAA,222,111,000,0,0
83.72541,21.634438,05345409+2138039,16.814,0.143,15.809,0.144,15.582,0.228,BBD,222,111,000,0,0
83.724247,21.64131,05345381+2138287,14.06,0.028,13.582,0.031,13.425,0.038,AAA,222,111,000,0,0
83.720288,21.630226,05345286+2137488,12.923,0.024,12.522,0.024,12.444,0.024,AAA,222,111,000,0,0
83.716572,21.650436,05345197+2139015,15.417,0.043,15.213,0.08,15.004,0.132,AAB,222,111,000,0,0
83.715991,21.660728,05345183+2139386,15.509,0.053,15.084,0.079,15.115,0.152,AAB,222,111,000,0,0
83.717567,21.625511,05345221+2137318,16.743,0.153,15.849,0.149,15.28,,BBU,220,110,000,0,0
83.704074,21.649866,05344897+2138595,15.733,0.082,15.166,0.079,15.051,0.139,AAB,222,111,ccc,0,0
83.713485,21.648338,05345123+2138540,13.874,0.027,13.323,0.031,13.226,0.034,AAA,222,111,000,0,0
83.711048,21.634081,05345065+2138026,15.217,0.046,14.815,0.052,14.649,0.101,AAA,222,111,000,0,0
83.707365,21.644487,05344976+2138401,14.799,0.03,14.354,0.042,14.277,0.071,AAA,222,111,000,0,0
83.66897,21.62059,05344055+2137141,16.625,0.134,15.714,0.134,15.48,0.207,BBC,222,111,c0c,0,0
83.641625,21.623201,05343399+2137235,16.031,0.08,15.651,0.13,15.437,0.204,ABC,222,111,ccc,0,0
83.652456,21.622313,05343658+2137203,7.817,0.018,7.63,0.02,7.579,0.017,AAA,111,111,000,0,0
83.655894,21.617039,05343741+2137013,16.633,0.125,15.861,0.14,15.244,,BBU,220,110,cc0,0,0
83.655016,21.626534,05343720+2137355,16.741,0.211,16.445,0.274,14.569,,CDU,220,110,cc0,0,0
83.651899,21.62558,05343645+2137320,10.13,0.024,9.577,0.026,9.456,0.021,AAA,222,111,ddd,0,0
83.661217,21.627357,05343869+2137384,15.937,0.067,15.509,0.108,15.39,0.192,AAC,222,111,ccc,0,0
83.644672,21.627726,05343472+2137398,15.685,0.058,15.099,0.075,14.87,0.12,AAB,222,111,cc0,0,0
83.641211,21.634163,05343389+2138029,15.516,0.058,14.927,0.069,14.791,0.11,AAB,222,111,000,0,0
83.63611,21.625467,05343266+2137316,15.64,0.055,15.217,0.081,15.149,0.147,AAB,222,111,000,0,0
83.598013,21.623045,05342352+2137229,16.65,0.133,15.837,,16.563,,BUU,200,100,000,0,0
83.600283,21.616034,05342406+2136577,16.329,0.106,15.971,0.163,16.028,,ACU,220,110,000,0,0
83.585089,21.622875,05342042+2137223,16.284,0.115,15.633,0.113,15.316,0.171,BBC,222,111,ccc,0,0
83.621365,21.627102,05342912+2137375,14.781,0.047,14.467,0.066,14.383,0.085,AAA,222,111,000,0,0
83.619682,21.627243,05342872+2137380,14.264,0.051,14.084,0.067,13.91,0.058,AAA,222,111,000,0,0
83.622075,21.625492,05342929+2137317,15.503,0.056,14.882,0.057,14.674,0.094,AAA,222,111,000,0,0
83.600245,21.628883,05342405+2137439,14.664,0.032,14.121,0.031,14.009,0.059,AAA,222,111,000,0,0
