RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
187.720015,12.007826,12305280+1200281,16.676,0.134,16.052,0.208,16.128,0.285,BCD,222,111,000,0,0
187.818366,12.006659,12311640+1200239,16.477,0.123,15.435,0.12,15.52,0.182,BBC,222,111,000,0,0
187.83953,12.018266,12312148+1201057,14.713,0.04,14.036,0.047,13.879,0.048,AAA,222,111,000,0,0
187.799307,12.028485,12311183+1201425,16.549,0.163,16.196,,15.477,,CUU,200,100,000,0,0
187.745223,12.032585,12305885+1201573,16.48,0.158,15.884,0.197,15.072,0.173,CCC,222,111,000,0,0
187.754258,12.036413,12310102+1202110,14.862,0.046,14.398,0.063,14.169,0.077,AAA,222,111,000,0,0
187.76135,12.025448,12310272+1201316,16.419,0.143,15.924,0.226,15.793,0.309,BDD,222,111,000,0,0
187.832264,12.038242,12311974+1202176,10.934,0.022,10.712,0.026,10.672,0.022,AAA,222,111,000,0,0
187.804685,12.052059,12311312+1203074,15.393,0.068,14.646,0.084,14.02,0.064,AAA,222,111,000,0,0
187.839721,12.083436,12312153+1205003,15.552,0.062,15.0,0.093,14.662,0.078,AAA,222,111,000,0,0
187.827422,12.092045,12311858+1205313,14.035,0.027,13.677,0.037,13.614,0.039,AAA,222,111,000,0,0
187.816726,12.090221,12311601+1205247,16.789,0.17,15.559,,15.363,0.149,CUB,202,101,000,0,0
187.92613,12.05875,12314227+1203315,16.962,0.176,15.809,0.169,15.537,0.158,CCC,222,111,000,0,0
187.931476,12.066425,12314355+1203591,13.361,0.023,12.99,0.026,12.947,0.023,AAA,222,111,000,0,0
187.876281,12.060951,12313030+1203394,16.543,0.164,15.891,0.22,15.277,0.193,CDC,222,111,000,0,0
187.895508,12.053531,12313492+1203127,15.576,0.06,15.039,0.088,14.624,0.111,AAB,222,111,000,0,0
187.905125,12.067431,12313723+1204027,16.661,0.127,15.838,0.16,15.197,0.126,BCB,222,111,000,0,0
187.974409,12.112803,12315385+1206460,15.58,0.046,14.934,0.068,14.669,0.069,AAA,222,111,000,0,0
187.972178,12.090169,12315332+1205246,13.249,0.026,12.598,0.025,12.491,0.029,AAA,222,111,000,0,0
187.983058,12.109889,12315593+1206356,15.05,0.046,14.67,0.063,14.692,0.114,AAB,222,111,000,0,0
187.926776,12.101064,12314242+1206038,12.489,0.02,11.85,0.022,11.652,0.023,AAA,222,111,000,0,0
187.939821,12.124332,12314555+1207275,12.65,0.021,12.355,0.022,12.346,0.023,AAA,222,111,000,0,0
187.957441,12.106104,12314978+1206219,15.75,0.056,15.281,0.099,15.168,0.125,AAB,222,111,000,0,0
187.955953,12.123899,12314942+1207260,17.134,0.192,16.249,0.215,15.45,0.154,CCB,222,111,000,0,0
187.865768,12.073404,12312778+1204242,16.178,0.117,15.967,0.208,15.926,,BCU,220,110,000,0,0
187.895038,12.104039,12313480+1206145,14.085,0.027,13.551,0.04,13.456,0.041,AAA,222,111,000,0,0
187.858513,12.10539,12312604+1206194,11.371,0.026,10.906,0.028,10.791,0.021,AAA,222,111,000,0,0
187.875154,12.114532,12313003+1206523,14.615,0.033,13.824,0.044,13.781,0.058,AAA,222,111,000,0,0
187.914018,12.127879,12313936+1207403,7.445,0.037,7.315,0.027,7.28,0.027,AAA,111,111,000,0,0
187.898824,12.160214,12313571+1209367,12.015,0.021,11.691,0.026,11.645,0.021,AAA,222,111,000,0,0
187.901921,12.167775,12313646+1210039,13.141,0.02,12.751,0.027,12.683,0.026,AAA,222,111,000,0,0
187.989859,12.108738,12315756+1206314,16.899,0.15,16.002,,15.398,0.143,BUB,202,101,000,0,0
188.022208,12.150739,12320532+1209026,16.801,0.146,16.146,0.188,15.69,0.172,BCC,222,111,000,0,0
187.986627,12.145976,12315679+1208455,16.174,0.075,15.727,0.135,15.532,0.161,ABC,222,111,000,0,0
187.949511,12.164945,12314788+1209538,16.747,0.148,15.758,,15.551,0.18,BUC,202,101,000,0,0
187.976459,12.17786,12315435+1210402,15.873,0.061,15.069,0.079,15.115,0.106,AAA,222,111,000,0,0
187.989184,12.179433,12315740+1210459,14.796,0.03,14.191,0.041,14.17,0.048,AAA,222,111,000,0,0
187.923869,12.166359,12314172+1209588,13.915,0.023,13.245,0.03,13.095,0.03,AAA,222,111,000,0,0
187.947271,12.172059,12314734+1210194,15.511,0.044,14.909,0.062,14.899,0.087,AAA,222,111,000,0,0
187.938975,12.18611,12314535+1211099,16.488,0.102,15.687,0.124,15.465,0.14,ABB,222,111,000,0,0
188.00965,12.2208,12320231+1213148,16.806,0.141,16.069,,15.264,,BUU,266,200,c00,0,0
188.00963,12.219325,12320231+1213095,16.577,0.119,15.772,,15.562,,BUU,266,200,c00,0,0
187.989416,12.226147,12315745+1213341,16.689,0.124,16.098,0.196,15.24,0.129,BCB,222,111,000,0,0
187.991693,12.228782,12315800+1213436,15.478,0.048,15.127,0.083,14.941,0.096,AAA,222,111,000,0,0
188.079953,12.243776,12321918+1214375,17.135,0.201,16.236,0.22,15.924,0.231,CDD,222,111,000,0,0
188.07831,12.236573,12321879+1214116,14.569,0.059,13.955,0.076,13.573,0.066,AAA,222,111,000,0,0
188.050457,12.238298,12321210+1214178,16.729,0.134,15.689,0.134,15.799,0.196,BBC,222,111,000,0,0
188.041952,12.217811,12321006+1213041,13.318,0.024,12.894,0.029,12.844,0.028,AAA,222,111,000,0,0
188.026226,12.234925,12320629+1214057,14.131,0.028,13.541,0.033,13.256,0.028,AAA,222,111,000,0,0
188.030983,12.226212,12320743+1213343,14.584,0.03,14.184,0.036,14.063,0.044,AAA,222,111,000,0,0
