RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
83.926666,-5.764996,05354239-0545539,15.947,0.07,14.808,0.07,14.43,0.06,AAA,222,111,000,0,0
83.939337,-5.762861,05354544-0545462,16.957,0.168,16.218,0.182,15.428,0.13,CCB,222,111,000,0,0
83.94442,-5.770996,05354666-0546155,15.88,0.066,14.619,0.054,14.011,0.046,AAA,222,111,000,0,0
83.995675,-5.750751,05355896-0545027,17.045,0.18,15.653,0.126,15.287,0.125,CBB,222,111,000,0,0
83.987092,-5.755309,05355690-0545191,12.572,0.024,11.446,0.031,10.823,0.021,AAA,222,111,000,0,0
83.947658,-5.752965,05354743-0545106,14.128,0.028,12.978,0.032,12.382,0.023,AAA,222,111,000,0,0
83.96158,-5.739012,05355077-0544204,17.885,,15.81,0.139,15.535,0.161,UBC,22,11,000,0,0
83.954248,-5.745228,05354901-0544428,16.822,,16.263,0.223,15.259,0.135,UDB,22,11,000,0,0
83.984311,-5.730977,05355623-0543515,16.201,0.087,15.59,0.143,14.953,0.112,ABB,222,111,000,0,0
83.975187,-5.741468,05355404-0544292,16.215,0.092,15.624,0.137,15.375,0.132,ABB,222,111,000,0,0
83.975095,-5.727912,05355402-0543404,17.45,0.263,15.959,0.152,15.291,0.115,DBB,222,111,000,0,0
83.972687,-5.74431,05355344-0544395,14.435,0.032,13.79,0.046,13.549,0.036,AAA,222,111,000,0,0
83.987462,-5.729112,05355699-0543448,17.335,,16.33,0.222,15.355,0.136,UDB,22,11,000,0,0
84.013517,-5.742471,05360324-0544328,14.558,0.034,13.87,0.037,13.542,0.032,AAA,222,111,000,0,0
84.016691,-5.724261,05360400-0543273,14.323,0.024,13.158,0.037,12.657,0.019,AAA,222,111,000,0,0
84.012421,-5.739149,05360298-0544209,15.974,0.076,15.618,0.122,15.027,0.093,ABA,222,111,000,0,0
84.055519,-5.713742,05361332-0542494,17.284,0.231,16.336,0.203,16.06,0.244,DCD,222,111,000,0,0
84.042921,-5.700486,05361030-0542017,15.606,0.069,14.421,0.05,13.872,0.047,AAA,222,111,000,0,0
84.043052,-5.707511,05361033-0542270,11.586,0.026,10.158,0.032,9.138,0.019,AAA,222,111,000,0,0
83.998677,-5.731537,05355968-0543535,17.629,,16.426,0.227,15.312,0.149,UDB,22,11,000,0,0
84.003059,-5.718969,05360073-0543082,15.308,0.043,13.987,0.048,13.416,0.036,AAA,222,111,000,0,0
84.030394,-5.706016,05360729-0542216,11.273,0.027,10.441,0.032,9.89,0.019,AAA,222,111,000,0,0
84.028182,-5.70242,05360676-0542087,15.629,0.059,14.872,0.063,14.45,0.056,AAA,222,111,ccc,0,0
84.03291,-5.700146,05360789-0542005,13.553,0.029,12.823,0.032,12.637,0.023,AAA,222,111,000,0,0
84.011272,-5.699028,05360270-0541565,17.221,,15.851,,15.529,0.168,UUC,2,1,000,0,0
84.021658,-5.694204,05360519-0541391,13.18,0.026,12.452,0.03,12.27,0.019,AAA,222,111,000,0,0
84.027505,-5.69844,05360660-0541543,13.457,0.092,12.904,0.088,12.614,0.03,AAA,222,111,ccc,0,0
84.026288,-5.699063,05360630-0541566,10.14,0.031,9.694,0.034,9.592,0.023,AAA,222,111,000,0,0
84.023187,-5.6915,05360556-0541294,17.031,0.172,15.526,0.12,14.712,0.068,CBA,222,111,c00,0,0
83.78796,-5.77832,05350911-0546419,16.859,0.159,15.788,0.133,15.44,0.135,CBB,222,111,ccc,0,0
83.746809,-5.76635,05345923-0545588,11.623,0.024,10.283,0.032,9.417,0.021,AAA,222,111,000,0,0
83.74751,-5.768828,05345940-0546077,17.129,,16.045,,15.462,0.158,UUC,2,1,00c,0,0
83.767569,-5.763043,05350421-0545469,14.065,0.028,12.925,0.035,12.517,0.024,AAA,222,111,s00,0,0
83.762646,-5.759277,05350303-0545333,12.962,0.03,11.821,0.038,11.333,0.03,AAA,222,111,000,0,0
83.770017,-5.777312,05350480-0546383,16.923,0.151,15.832,0.144,15.62,0.171,CBC,222,111,000,0,0
83.728794,-5.778869,05345491-0546439,11.372,0.022,10.562,0.03,10.069,0.021,AAA,222,111,000,0,0
83.704573,-5.768056,05344909-0546050,11.939,0.022,11.199,0.031,10.911,0.023,AAA,222,111,000,0,0
83.742803,-5.75157,05345827-0545056,13.639,0.027,11.982,0.033,11.09,0.021,AAA,222,111,000,0,0
83.740926,-5.766901,05345782-0546008,15.061,0.041,14.304,0.051,14.169,0.057,AAA,222,111,000,0,0
