RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
172.621203,48.639442,11302908+4838219,15.855,0.075,15.169,0.081,14.993,0.115,AAB,222,111,000,0,0
172.568611,48.639744,11301646+4838230,16.701,0.152,16.241,0.201,15.503,0.174,BDC,222,111,000,0,0
172.540846,48.64679,11300980+4838484,16.591,0.143,15.994,0.165,15.623,,BCU,220,110,000,0,0
172.663156,48.68317,11303915+4840594,16.462,0.131,15.823,0.142,15.103,0.124,BBB,222,111,000,0,0
172.660905,48.675045,11303861+4840301,16.894,0.181,16.101,0.183,15.57,0.184,CCC,222,111,000,0,0
172.650382,48.666172,11303609+4839582,16.977,0.21,16.451,0.266,15.988,0.262,CDD,222,111,000,0,0
172.65772,48.694252,11303785+4841393,15.551,0.062,14.882,0.066,14.802,0.102,AAA,222,111,000,0,0
172.447358,48.658798,11294736+4839316,15.62,0.061,14.927,0.071,14.822,0.097,AAA,222,111,000,0,0
172.457605,48.693726,11294982+4841374,15.89,0.078,15.191,0.09,14.922,0.106,AAA,222,111,000,0,0
172.390544,48.678867,11293373+4840439,15.829,0.079,15.1,0.076,15.065,0.122,AAB,222,111,000,0,0
172.404762,48.686142,11293714+4841101,15.896,0.077,15.38,0.101,15.307,0.141,AAB,222,111,000,0,0
172.402935,48.673069,11293670+4840230,14.671,0.034,14.319,0.048,14.284,0.061,AAA,222,111,000,0,0
172.491792,48.671082,11295803+4840158,16.465,0.135,15.837,0.144,15.18,0.139,BBB,222,111,000,0,0
172.532079,48.694504,11300769+4841402,14.239,0.028,13.558,0.03,13.4,0.034,AAA,222,111,000,0,0
172.55192,48.715538,11301246+4842559,16.281,0.11,15.667,0.131,15.555,0.186,BBC,222,111,000,0,0
172.586675,48.684547,11302080+4841043,15.662,0.066,15.156,0.081,14.911,0.107,AAA,222,111,000,0,0
172.586033,48.69923,11302064+4841572,14.932,0.037,14.594,0.052,14.394,0.07,AAA,222,111,000,0,0
172.59447,48.690491,11302267+4841257,14.146,0.028,13.531,0.025,13.297,0.035,AAA,222,111,000,0,0
172.614864,48.713985,11302756+4842503,15.831,0.08,15.346,0.099,14.887,0.105,AAA,222,111,000,0,0
172.621772,48.728519,11302922+4843426,15.953,0.085,15.647,0.141,15.645,0.191,ABC,222,111,000,0,0
172.643017,48.735306,11303432+4844071,15.225,0.047,14.7,0.057,14.397,0.07,AAA,222,111,000,0,0
172.63726,48.716446,11303294+4842592,16.44,0.128,15.814,0.137,15.504,0.171,BBC,222,111,000,0,0
172.640903,48.729122,11303381+4843448,15.381,0.052,14.785,0.054,14.5,0.074,AAA,222,111,000,0,0
172.595994,48.740437,11302303+4844255,14.137,0.029,13.484,0.027,13.306,0.036,AAA,222,111,000,0,0
172.5978,48.721046,11302347+4843157,14.717,0.034,14.234,0.044,14.169,0.06,AAA,222,111,000,0,0
172.617319,48.744019,11302815+4844384,14.156,0.028,13.689,0.032,13.607,0.04,AAA,222,111,000,0,0
172.502078,48.734703,11300049+4844049,15.256,0.049,14.743,0.063,14.399,0.067,AAA,222,111,000,0,0
172.539164,48.749413,11300939+4844578,16.505,0.132,15.811,0.148,15.27,0.149,BBB,222,111,000,0,0
172.594173,48.767262,11302260+4846021,13.123,0.022,12.685,0.024,12.564,0.025,AAA,222,111,000,0,0
172.624358,48.758846,11302984+4845318,15.307,0.066,14.559,0.089,14.476,0.085,AAA,222,222,ccc,0,0
172.625605,48.759327,11303014+4845335,15.294,0.05,14.705,0.072,14.335,0.067,AAA,222,222,ccc,0,0
172.57534,48.766407,11301808+4845590,14.713,0.036,14.221,0.04,14.15,0.057,AAA,222,111,000,0,0
172.436804,48.726921,11294483+4843369,15.648,0.065,14.993,0.068,15.137,0.128,AAB,222,111,000,0,0
172.425226,48.730194,11294205+4843486,16.453,,15.669,,15.388,0.151,UUB,2,1,000,0,0
172.382761,48.727211,11293186+4843379,16.264,0.1,15.668,0.124,15.899,0.242,ABD,222,111,000,0,0
172.402796,48.733898,11293667+4844020,14.795,0.038,14.445,0.055,14.322,0.063,AAA,222,111,000,0,0
172.446982,48.75457,11294727+4845164,12.295,0.022,11.988,0.019,11.92,0.022,AAA,222,111,000,0,0
172.281453,48.73608,11290754+4844098,9.303,0.039,8.779,0.03,8.697,0.018,AAA,122,111,000,0,0
172.304966,48.735504,11291319+4844078,16.676,0.146,16.059,0.186,15.404,0.162,BCC,222,111,000,0,0
172.38128,48.760994,11293150+4845395,13.215,0.023,12.609,0.022,12.31,0.022,AAA,222,111,000,0,0
172.395177,48.770336,11293484+4846132,16.341,0.119,15.839,0.161,15.121,,BCU,220,110,000,0,0
